Номенклатурный номер;Наименование;Производитель;Количество;Цена, руб.;Условия поставки;Сумма, руб.;
15913;PBS-10 (DS1023-1x10), Гнездо на плату 2.54мм 1х10 прямое;Connfly;6;7;20 сентября Со склада из г.Москва;42;https://www.chipdip.ru/product/pbs-10
614437829;9-1393239-1 (RT314005), Реле 5VDC 1пер. 16A/250VAC;TE Connectivity;1;280;20 сентября Со склада из г.Москва;280;https://www.chipdip.ru/product/9-1393239-1-rt314005
483943053;FOD817C (PC817C), Оптопара с транзисторным выходом [DIP-4];ON Semiconductor;10;17;20 сентября Со склада из г.Москва;170;https://www.chipdip.ru/product/fod817c-pc817c
443350645;Кер.ЧИП конд. 1 мкФ X7R 10% 16В 0805, GRM21BR71C105K;Murata;15;6;20 сентября Со склада из г.Москва;90;https://www.chipdip.ru/product/grm21br71c105k
9000771693;MMBT2222A,215, Транзистор NPN 40В 600мA [SOT-23-3];Nexperia;10;6;20 сентября Со склада из г.Москва;60;https://www.chipdip.ru/product/mmbt2222a-215
9000079659;0.25Вт 1206 10 кОм, 1%, Чип резистор (SMD);Тайвань;20;2;20 сентября Со склада из г.Москва;40;https://www.chipdip.ru/product0/9000079659
9000329456;KLS2-128-5.00-03P-4S (DG128-5.0-03P-14), Клеммник 3-контактный, 5мм, прямой;KLS;6;29;20 сентября Со склада из г.Москва;174;https://www.chipdip.ru/product/kls2-128-5.00-03p-4s-dg128-5.0-03p-14
9000079473;0.125Вт 0805 300 Ом, 1%, Чип резистор (SMD);Тайвань;20;2;20 сентября Со склада из г.Москва;40;https://www.chipdip.ru/product0/9000079473
9000372362;IRM-03-5, AC/DC преобразователь, 5В,0.6А,3Вт;MEAN WELL;2;490;20 сентября Со склада из г.Москва;980;https://www.chipdip.ru/product/irm-03-5-mean-well
465730327;REF198GSZ, Источник опорного напряжения с низким падением напряжения, микромощный, 4.096В [SO-8];Analog Devices;1;200;20 сентября Со склада из г.Москва;200;https://www.chipdip.ru/product/ref198gs
9000122618;Кер.чип.конд. 0805 X5R 10мкФ 25В 10%, GRM21BR61E106KA73L;Murata;15;7;20 сентября Со склада из г.Москва;105;https://www.chipdip.ru/product/grm21br61e106ka73l
860640216;Кер.ЧИП конд. 0.1 мкФ X7R 50В 10% 0805, GRM21BR71H104K**;Murata;20;7;20 сентября Со склада из г.Москва;140;https://www.chipdip.ru/product/grm21br71h104k
9000629213;TECAP, 1 мкФ, 50 В, тип В, 10%, Конденсатор танталовый SMD;Китай;5;14;20 сентября Со склада из г.Москва;70;https://www.chipdip.ru/product0/9000629213
9000070696;Кер.ЧИП конд. 47мкФ,X5R 16В, 10%,1210, GRM32ER61C476KE15L;Murata;10;39;20 сентября Со склада из г.Москва;390;https://www.chipdip.ru/product/grm32er61c476ke15l
9000329451;KLS2-128-5.00-02P-4S (DG128-5.0-02P-14), Клеммник 2-контактный, 5мм, прямой;KLS;6;23;20 сентября Со склада из г.Москва;138;https://www.chipdip.ru/product/kls2-128-5.00-02p-4s-dg128-5.0-02p-14
9000285934;TC74A0-5.0VAT, Датчик температуры цифровой (2-Wire, I2C), ± 2°C, -40...+125 °C [TO-220-5];Microchip;1;160;20 сентября Со склада из г.Москва;160;https://www.chipdip.ru/product/tc74a0-5.0vat
41183;KLS5-CR2032-01 (BH-642) (CH224-2032), Батарейный отсек на 1xCR2032;KLS;2;19;20 сентября Со склада из г.Москва;38;https://www.chipdip.ru/product/bh-642
9000079466;0.125Вт 0805 150 Ом, 1%, Чип резистор (SMD);Тайвань;20;2;20 сентября Со склада из г.Москва;40;https://www.chipdip.ru/product0/9000079466
9000276625;NRP-03K-C-05D-H, Реле 1 пер. 5V /2A, 120VAC;NCR;2;91;20 сентября Со склада из г.Москва;182;https://www.chipdip.ru/product/nrp-03k-c-05d-h
2000623668;"L78L33ABUTR, Cтабилизатор напряжения (+3.3В; 0.1А), [SOT-89]";ST Microelectronics;1;13;27 сентября Со склада из г.Москва;13;https://www.chipdip.ru/product/l78l33abutr
9000079530;0.125Вт 0805 47 кОм, 1%, Чип резистор (SMD);Тайвань;20;2;27 сентября Со склада из г.Москва;40;https://www.chipdip.ru/product0/9000079530
9000079502;0.125Вт 0805 4.7 кОм, 1%, Чип резистор (SMD);Тайвань;5;2;27 сентября Со склада из г.Москва;10;https://www.chipdip.ru/product0/9000079502
218451490;0.125Вт 0805 1 Ом, 5%, Чип резистор (SMD);Тайвань;5;2;27 сентября Со склада из г.Екатеринбург;10;https://www.chipdip.ru/product0/218451490
9000000000;GNL-0603PGC, Светодиод зеленый SMD 0603 200-400мКд 120° 525нМ;G-nor;1;14;27 сентября Со склада из г.Москва;14;https://www.chipdip.ru/product0/9000811943
;;;;;Сумма товаров в заказе, руб.:;3426;
;;;;;Кол-во товаров в заказе:;25;
